"Matchup","Game","White","Black","Swapped","OpeningIdx","Result","Termination","TimeSec","ExitCode"
"mcts_nn_vs_stockfish_sk1","1","MCTS_NN","STOCKFISH","False","0","1-0","checkmate","620,94","0"
"mcts_nn_vs_stockfish_sk1","2","MCTS_NN","STOCKFISH","False","1","1-0","checkmate","740","0"
"mcts_nn_vs_stockfish_sk1","3","MCTS_NN","STOCKFISH","False","2","1-0","checkmate","266,46","0"
"mcts_nn_vs_stockfish_sk1","4","MCTS_NN","STOCKFISH","False","3","1-0","checkmate","389,64","0"
"mcts_nn_vs_stockfish_sk1","5","MCTS_NN","STOCKFISH","False","4","1-0","checkmate","199,86","0"
"mcts_nn_vs_stockfish_sk1","6","MCTS_NN","STOCKFISH","False","5","1/2-1/2","draw_3fold_claim","439,84","0"
"mcts_nn_vs_stockfish_sk1","7","MCTS_NN","STOCKFISH","False","6","1-0","checkmate","706,08","0"
"mcts_nn_vs_stockfish_sk1","8","MCTS_NN","STOCKFISH","False","7","1/2-1/2","draw_3fold_claim","688,85","0"
"mcts_nn_vs_stockfish_sk1","9","MCTS_NN","STOCKFISH","False","8","1/2-1/2","draw_3fold_claim","292,02","0"
"mcts_nn_vs_stockfish_sk1","10","MCTS_NN","STOCKFISH","False","9","1/2-1/2","draw_3fold_claim","387,06","0"
"mcts_nn_vs_stockfish_sk1","11","STOCKFISH","MCTS_NN","True","10","1/2-1/2","draw_3fold_claim","341,08","0"
"mcts_nn_vs_stockfish_sk1","12","STOCKFISH","MCTS_NN","True","11","0-1","checkmate","383,48","0"
"mcts_nn_vs_stockfish_sk1","13","STOCKFISH","MCTS_NN","True","12","1/2-1/2","draw_3fold_claim","809,37","0"
"mcts_nn_vs_stockfish_sk1","14","STOCKFISH","MCTS_NN","True","13","1/2-1/2","draw_3fold_claim","360,48","0"
"mcts_nn_vs_stockfish_sk1","15","STOCKFISH","MCTS_NN","True","14","1/2-1/2","draw_3fold_claim","211,37","0"
"mcts_nn_vs_stockfish_sk1","16","STOCKFISH","MCTS_NN","True","15","1/2-1/2","draw_3fold_claim","380,64","0"
"mcts_nn_vs_stockfish_sk1","17","STOCKFISH","MCTS_NN","True","16","0-1","checkmate","148,65","0"
"mcts_nn_vs_stockfish_sk1","18","STOCKFISH","MCTS_NN","True","17","1/2-1/2","draw_3fold_claim","397,19","0"
"mcts_nn_vs_stockfish_sk1","19","STOCKFISH","MCTS_NN","True","18","1/2-1/2","draw_3fold_claim","242,57","0"
"mcts_nn_vs_stockfish_sk1","20","STOCKFISH","MCTS_NN","True","19","1/2-1/2","draw_3fold_claim","657,16","0"
"mcts_nn_vs_stockfish_sk3","1","MCTS_NN","STOCKFISH","False","0","1-0","checkmate","612,22","0"
"mcts_nn_vs_stockfish_sk3","2","MCTS_NN","STOCKFISH","False","1","1-0","checkmate","203,41","0"
"mcts_nn_vs_stockfish_sk3","3","MCTS_NN","STOCKFISH","False","2","1/2-1/2","draw_3fold_claim","315,35","0"
"mcts_nn_vs_stockfish_sk3","4","MCTS_NN","STOCKFISH","False","3","1-0","checkmate","297,16","0"
"mcts_nn_vs_stockfish_sk3","5","MCTS_NN","STOCKFISH","False","4","1-0","checkmate","667,78","0"
"mcts_nn_vs_stockfish_sk3","6","MCTS_NN","STOCKFISH","False","5","1-0","checkmate","175,43","0"
"mcts_nn_vs_stockfish_sk3","7","MCTS_NN","STOCKFISH","False","6","1/2-1/2","draw_insufficient","484,45","0"
"mcts_nn_vs_stockfish_sk3","8","MCTS_NN","STOCKFISH","False","7","1/2-1/2","draw_3fold_claim","504,44","0"
"mcts_nn_vs_stockfish_sk3","9","MCTS_NN","STOCKFISH","False","8","1/2-1/2","draw_3fold_claim","749,47","0"
"mcts_nn_vs_stockfish_sk3","10","MCTS_NN","STOCKFISH","False","9","1/2-1/2","draw_3fold_claim","466,96","0"
"mcts_nn_vs_stockfish_sk3","11","STOCKFISH","MCTS_NN","True","10","1/2-1/2","draw_3fold_claim","187,93","0"
"mcts_nn_vs_stockfish_sk3","12","STOCKFISH","MCTS_NN","True","11","1/2-1/2","draw_3fold_claim","356,66","0"
"mcts_nn_vs_stockfish_sk3","13","STOCKFISH","MCTS_NN","True","12","1/2-1/2","draw_3fold_claim","876,52","0"
"mcts_nn_vs_stockfish_sk3","14","STOCKFISH","MCTS_NN","True","13","0-1","checkmate","292,92","0"
"mcts_nn_vs_stockfish_sk3","15","STOCKFISH","MCTS_NN","True","14","0-1","checkmate","467,13","0"
"mcts_nn_vs_stockfish_sk3","16","STOCKFISH","MCTS_NN","True","15","1/2-1/2","draw_3fold_claim","364,44","0"
"mcts_nn_vs_stockfish_sk3","17","STOCKFISH","MCTS_NN","True","16","0-1","checkmate","491,28","0"
"mcts_nn_vs_stockfish_sk3","18","STOCKFISH","MCTS_NN","True","17","1/2-1/2","draw_3fold_claim","781,96","0"
"mcts_nn_vs_stockfish_sk3","19","STOCKFISH","MCTS_NN","True","18","1/2-1/2","draw_3fold_claim","577,97","0"
"mcts_nn_vs_stockfish_sk3","20","STOCKFISH","MCTS_NN","True","19","1/2-1/2","draw_3fold_claim","343,09","0"
"mcts_nn_vs_stockfish_sk5","1","MCTS_NN","STOCKFISH","False","0","1/2-1/2","draw_3fold_claim","716,6","0"
"mcts_nn_vs_stockfish_sk5","2","MCTS_NN","STOCKFISH","False","1","1/2-1/2","draw_3fold_claim","614,83","0"
"mcts_nn_vs_stockfish_sk5","3","MCTS_NN","STOCKFISH","False","2","1/2-1/2","draw_3fold_claim","443,65","0"
"mcts_nn_vs_stockfish_sk5","4","MCTS_NN","STOCKFISH","False","3","0-1","checkmate","174,57","0"
"mcts_nn_vs_stockfish_sk5","5","MCTS_NN","STOCKFISH","False","4","1/2-1/2","draw_3fold_claim","396,79","0"
"mcts_nn_vs_stockfish_sk5","6","MCTS_NN","STOCKFISH","False","5","1/2-1/2","draw_3fold_claim","904,37","0"
"mcts_nn_vs_stockfish_sk5","7","MCTS_NN","STOCKFISH","False","6","1-0","checkmate","435,39","0"
"mcts_nn_vs_stockfish_sk5","8","MCTS_NN","STOCKFISH","False","7","1/2-1/2","draw_3fold_claim","1000,24","0"
"mcts_nn_vs_stockfish_sk5","9","MCTS_NN","STOCKFISH","False","8","1/2-1/2","draw_3fold_claim","542,82","0"
"mcts_nn_vs_stockfish_sk5","10","MCTS_NN","STOCKFISH","False","9","0-1","checkmate","438,41","0"
"mcts_nn_vs_stockfish_sk5","11","STOCKFISH","MCTS_NN","True","10","0-1","checkmate","404,28","0"
"mcts_nn_vs_stockfish_sk5","12","STOCKFISH","MCTS_NN","True","11","1-0","checkmate","290,17","0"
"mcts_nn_vs_stockfish_sk5","13","STOCKFISH","MCTS_NN","True","12","1/2-1/2","draw_3fold_claim","376,29","0"
"mcts_nn_vs_stockfish_sk5","14","STOCKFISH","MCTS_NN","True","13","1/2-1/2","draw_3fold_claim","248,4","0"
"mcts_nn_vs_stockfish_sk5","15","STOCKFISH","MCTS_NN","True","14","1/2-1/2","draw_3fold_claim","680,42","0"
"mcts_nn_vs_stockfish_sk5","16","STOCKFISH","MCTS_NN","True","15","1-0","checkmate","491,84","0"
"mcts_nn_vs_stockfish_sk5","17","STOCKFISH","MCTS_NN","True","16","1-0","checkmate","399,68","0"
"mcts_nn_vs_stockfish_sk5","18","STOCKFISH","MCTS_NN","True","17","1/2-1/2","draw_3fold_claim","606,31","0"
"mcts_nn_vs_stockfish_sk5","19","STOCKFISH","MCTS_NN","True","18","1/2-1/2","draw_3fold_claim","963,31","0"
"mcts_nn_vs_stockfish_sk5","20","STOCKFISH","MCTS_NN","True","19","1/2-1/2","draw_3fold_claim","770,46","0"
"mcts_nn_vs_stockfish_sk8","1","MCTS_NN","STOCKFISH","False","0","1/2-1/2","draw_3fold_claim","441,05","0"
"mcts_nn_vs_stockfish_sk8","2","MCTS_NN","STOCKFISH","False","1","0-1","checkmate","199,5","0"
"mcts_nn_vs_stockfish_sk8","3","MCTS_NN","STOCKFISH","False","2","0-1","checkmate","496,39","0"
"mcts_nn_vs_stockfish_sk8","4","MCTS_NN","STOCKFISH","False","3","0-1","checkmate","327,97","0"
"mcts_nn_vs_stockfish_sk8","5","MCTS_NN","STOCKFISH","False","4","0-1","checkmate","388,01","0"
"mcts_nn_vs_stockfish_sk8","6","MCTS_NN","STOCKFISH","False","5","0-1","checkmate","453,13","0"
"mcts_nn_vs_stockfish_sk8","7","MCTS_NN","STOCKFISH","False","6","0-1","checkmate","795,66","0"
"mcts_nn_vs_stockfish_sk8","8","MCTS_NN","STOCKFISH","False","7","1/2-1/2","draw_3fold_claim","532,12","0"
"mcts_nn_vs_stockfish_sk8","9","MCTS_NN","STOCKFISH","False","8","1/2-1/2","draw_3fold_claim","513,65","0"
"mcts_nn_vs_stockfish_sk8","10","MCTS_NN","STOCKFISH","False","9","1/2-1/2","draw_3fold_claim","649,91","0"
"mcts_nn_vs_stockfish_sk8","11","STOCKFISH","MCTS_NN","True","10","1-0","checkmate","446,58","0"
"mcts_nn_vs_stockfish_sk8","12","STOCKFISH","MCTS_NN","True","11","1-0","checkmate","345","0"
"mcts_nn_vs_stockfish_sk8","13","STOCKFISH","MCTS_NN","True","12","1-0","checkmate","422,72","0"
"mcts_nn_vs_stockfish_sk8","14","STOCKFISH","MCTS_NN","True","13","1-0","checkmate","276,22","0"
"mcts_nn_vs_stockfish_sk8","15","STOCKFISH","MCTS_NN","True","14","1-0","checkmate","169,95","0"
