Result: White wins by checkmate

1: e2e4
2: c7c5
3: d4d5
4: e7e5
5: c1e3
6: e8g8
7: g2g4
8: d8b6
9: d1d2
10: f6g4
11: f3g4
12: c8g4
13: f1e2
14: g4e2
15: g1e2
16: b6a6
17: b2b3
18: f7f5
19: e4f5
20: f8f5
21: e2g3
22: f5f7
23: c3e4
24: b8d7
25: e1c1
26: f7f8
27: c1b1
28: g8f7
29: d2e2
30: a8e8
31: h2h4
32: f7e7
33: h4h5
34: e7f7
35: e2h2
36: f8h8
37: d1f1
38: f7e7
39: e3g5
40: d7f6
41: f1f3
42: h8f8
43: h1f1
44: a6a2
45: h2a2
46: g6h5
47: g5f6
48: g7f6
49: g3f5
50: e7d7
51: a2a4
52: d7d8
53: a4a5
54: b7b6
55: a5e1
56: d8d7
57: f5d6
58: f6g5
59: e4g5
60: f8f3
61: f1f3
62: d7d6
63: f3f7
64: e8e7
65: g5e4
66: d6d7
67: f7e7
68: d7e7
69: e1h4
70: e7f8
71: h4f6
72: f8g8
73: e4d6
74: h5h4
75: f6f7
76: g8h8
77: f7f8
