Result: Black wins by checkmate

1: c4c5
2: f6e4
3: g5f4
4: e4c3
5: b2c3
6: e8f8
7: a2a4
8: e7f6
9: a4a5
10: g7g5
11: f4g3
12: h7h5
13: a5a6
14: h5h4
15: c5c6
16: b7a6
17: g3h4
18: g5h4
19: e2e3
20: d8e8
21: g1h3
22: h8g8
23: d1h5
24: e8c6
25: e1d1
26: a6a5
27: f1e2
28: c6c3
29: a1c1
30: c3b3
31: c1c2
32: b8d7
33: g2g3
34: c7c5
35: d4c5
36: b3b1
37: c2c1
38: b1b3
39: d1e1
40: b3b2
41: c1b1
42: b2b1
43: e1d2
44: b1b4
45: d2d1
46: b4b1
47: d1d2
48: b1b4
49: d2d3
50: b4c3
