Result: White wins by checkmate

1: e2e3
2: h7h6
3: g5f4
4: g7g5
5: f4g3
6: b8d7
7: h2h4
8: g5h4
9: g3h4
10: d7b6
11: g1f3
12: d5c4
13: f1c4
14: b6c4
15: d1a4
16: c8d7
17: a4c4
18: d7c6
19: f3e5
20: c6g2
21: h1h2
22: g2d5
23: c4b5
24: e8f8
25: e1c1
26: a7a6
27: b5e2
28: f6e4
29: e2f3
30: e4g5
31: f3h5
32: h8h7
33: d1g1
34: f8g8
35: h4g5
36: e7g5
37: f2f4
38: d5a2
39: f4g5
40: d8g5
41: g1g5
42: g8f8
43: g5g1
44: b7b5
45: c3a2
46: a8e8
47: e5d7
48: f8e7
49: h5h4
50: e7d7
51: c1d1
52: e8h8
53: h4f2
54: d7e8
55: e3e4
56: e8f8
57: d4d5
58: e6d5
59: f2c5
60: f8e8
61: c5c6
62: e8f8
63: c6c5
64: f8e8
65: c5c7
66: d5e4
67: c7c6
68: e8e7
69: c6e4
70: e7f8
71: e4a8
72: f8e7
73: a8a7
74: e7d6
75: h2d2
76: d6e6
77: a7e3
78: e6f6
79: d2f2
